From,To,Thick,Litho,Qual,Shade,Hue,Colour,Weath,Str,Rec Seq,Inter-rel,Percent
12.470,12.660,0.190,SS,FM,A,B,B,F,R4,,,0.0
12.660,12.780,0.120,ST,,A,B,B,F,R4,,,0.0
12.780,12.880,0.100,SS,FM,A,B,B,F,R4,,,0.0
12.880,12.890,0.010,NL,,,,,,,,,0.0
12.890,13.080,0.190,ST,,A,B,B,F,R4,,,0.0
13.080,13.100,0.020,NL,,,,,,,,,0.0
13.100,13.230,0.130,ST,,A,B,B,F,R4,,,0.0
13.230,13.260,0.030,SS,FM,A,B,B,F,R4,,,0.0
13.260,13.460,0.200,ST,,A,B,B,F,R4,,,0.0
13.460,13.580,0.120,SS,FM,A,B,B,F,R4,,,0.0
13.580,13.630,0.050,ST,,A,B,B,F,R4,,,0.0
13.630,13.650,0.020,SS,FM,A,B,B,F,R4,,,0.0
13.650,13.670,0.020,ST,,A,B,B,F,R4,,,0.0
13.670,13.680,0.010,NL,,,,,,,,,0.0
13.680,13.760,0.080,SS,FM,A,B,B,F,R4,,,0.0
13.760,13.770,0.010,NL,,,,,,,,,0.0
13.770,13.850,0.080,ST,,A,B,B,F,R4,,,0.0
13.850,13.860,0.010,SS,FM,A,B,B,F,R4,,,0.0
13.860,13.870,0.010,ST,,A,B,B,F,R4,,,0.0
13.870,14.340,0.470,SS,FM,A,B,B,F,R4,,,0.0
14.340,14.370,0.030,ST,,A,B,B,F,R4,,,0.0
14.370,14.410,0.040,SS,FM,A,B,B,F,R4,,,0.0
14.410,14.420,0.010,ST,,A,B,B,F,R4,,,0.0
14.420,14.600,0.180,SS,FM,A,B,B,F,R4,,,0.0
14.600,14.700,0.100,ST,,A,B,B,F,R4,,,0.0
14.700,14.930,0.230,SS,FM,A,B,B,F,R4,,,0.0
14.930,14.950,0.020,ST,,A,B,B,F,R4,,,0.0
14.950,14.960,0.010,SS,FM,A,B,B,F,R4,,,0.0
14.960,14.990,0.030,ST,,A,B,B,F,R4,,,0.0
14.990,15.150,0.160,SS,FM,A,B,B,F,R4,,,0.0
15.150,15.180,0.030,ST,,A,B,B,F,R4,,,0.0
15.180,15.190,0.010,NL,,,,,,,,,0.0
15.190,15.240,0.050,SS,FM,A,B,B,F,R4,,,0.0
15.240,15.270,0.030,ST,,A,B,B,F,R4,,,0.0
15.270,15.280,0.010,SS,FM,A,B,B,F,R4,,,0.0
15.280,15.290,0.010,NL,,,,,,,,,0.0
15.290,15.310,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.310,15.360,0.050,ST,,A,B,B,F,R4,,,0.0
15.360,15.510,0.150,SS,FM,A,B,B,F,R4,,,0.0
15.510,15.540,0.030,ST,,A,B,B,F,R4,,,0.0
15.540,15.560,0.020,NL,,,,,,,,,0.0
15.560,15.580,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.580,15.590,0.010,NL,,,,,,,,,0.0
15.590,15.600,0.010,ST,,A,B,B,F,R4,,,0.0
15.600,15.610,0.010,NL,,,,,,,,,0.0
15.610,15.680,0.070,SS,FM,A,B,B,F,R4,,,0.0
15.680,15.690,0.010,NL,,,,,,,,,0.0
15.690,15.710,0.020,ST,,A,B,B,F,R4,,,0.0
15.710,15.720,0.010,NL,,,,,,,,,0.0
15.720,15.730,0.010,SS,FM,A,B,B,F,R4,,,0.0
15.730,15.800,0.070,ST,,A,B,B,F,R4,,,0.0
15.800,15.830,0.030,SS,FM,A,B,B,F,R4,,,0.0
15.830,15.840,0.010,ST,,A,B,B,F,R4,,,0.0
15.840,15.860,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.860,15.870,0.010,ST,,A,B,B,F,R4,,,0.0
15.870,16.040,0.170,SS,FM,A,B,B,F,R4,,,0.0
16.040,16.070,0.030,XM,,B,K,B,F,R3,,,0.0
16.070,16.220,0.150,ST,,A,B,B,F,R4,,,0.0
16.220,16.360,0.140,SS,FM,A,B,B,F,R4,,,0.0
16.360,16.440,0.080,ST,,A,B,B,F,R4,,,0.0
16.440,16.540,0.100,SS,FM,A,B,B,F,R4,,,0.0
16.540,16.580,0.040,ST,,A,B,B,F,R4,,,0.0
16.580,16.610,0.030,SS,FM,A,B,B,F,R4,,,0.0
16.610,16.620,0.010,NL,,,,,,,,,0.0
16.620,16.830,0.210,ST,,A,B,B,F,R4,,,0.0
16.830,16.840,0.010,SS,FM,A,B,B,F,R4,,,0.0
16.840,16.850,0.010,ST,,A,B,B,F,R4,,,0.0
16.850,16.970,0.120,SS,FM,A,B,B,F,R4,,,0.0
16.970,16.980,0.010,NL,,,,,,,,,0.0
16.980,17.020,0.040,ST,,A,B,B,F,R4,,,0.0
17.020,17.040,0.020,SS,FM,A,B,B,F,R4,,,0.0
17.040,17.060,0.020,ST,,A,B,B,F,R4,,,0.0
17.060,17.070,0.010,NL,,,,,,,,,0.0
17.070,17.120,0.050,SS,FM,A,B,B,F,R4,,,0.0
17.120,17.230,0.110,ST,,A,B,B,F,R4,,,0.0
17.230,17.290,0.060,SS,FM,A,B,B,F,R4,,,0.0
